ID| Author| Title| Language| Wordcount| Unique Wordcount| Sentences| MLS| Path
8727|Doyle, Arthur Conan, Sir, 1859-1930|The Last Galley Impressions and Tales Impressions and Tales|en|0|0|0|0.0|dirs/etext05/8gall10.zip
8728|Wood, William (William Charles Henry), 1864-1947|The Winning of Canada: a Chronicle of Wolf|en|0|0|0|0.0|dirs/etext05/cca1110.zip
8729|Yerkes, Robert M., 1876-1956|The Dancing Mouse A Study in Animal Behavior|en|0|0|0|0.0|dirs/etext05/8mous10.zip
873|Wilde, Oscar, 1854-1900|A House of Pomegranates|en|0|0|0|0.0|dirs/etext97/hpomg10.zip
8730|Bruce, Mary Grant, 1878-1958|A Little Bush Maid|en|0|0|0|0.0|dirs/etext05/8maid10.zip
8731|Whipple, H. B., 1823-1901|Five Sermons|en|0|0|0|0.0|dirs/etext05/5serm10.zip
8732|Henty, G. A. (George Alfred), 1832-1902|Through the Fray A Tale of the Luddite Riots|en|0|0|0|0.0|dirs/etext05/tfray10.zip
8733|Kingsley, Charles, 1819-1875|The Hermits|en|0|0|0|0.0|dirs/etext05/hrmt10.zip
8734|Betham-Edwards, Matilda, 1836-1919|East of Paris Sketches in the Gâtinais, Bourbonnais, and Champagne|en|0|0|0|0.0|dirs/etext05/8epar10.zip
8735|Dunn, Jonathan|The Revolutions of Time|en|0|0|0|0.0|dirs/etext05/rvtim10.zip
8736|Conrad, Joseph, 1857-1924|Gaspar Ruiz|en|0|0|0|0.0|dirs/etext05/8ruiz10.zip
8737|Ward, Mrs. Humphry, 1851-1920|Robert Elsmere|en|0|0|0|0.0|dirs/etext05/8rels10.zip
8738|Ovid|Fasti|la|0|0|0|0.0|dirs/etext05/8fsti10.zip
8739|Hamel, Ernest|Thermidor|fr|0|0|0|0.0|dirs/etext05/8thmr10.zip
874|Vivian, Evelyn Charles, 1882-1947|A History of Aeronautics|en|0|0|0|0.0|files/874/874.zip
8740|Tarkington, Booth, 1869-1946|In the Arena Stories of Political Life|en|0|0|0|0.0|dirs/etext05/8arna10.zip
8741|Vance, Louis Joseph, 1879-1933|The Brass Bowl|en|0|0|0|0.0|dirs/etext05/8brss10.zip
8742|Various|Scientific American Supplement, No. 392, July 7, 1883|en|0|0|0|0.0|dirs/etext05/8039210.zip
8743|Meinhold, Wilhelm, 1797-1851|Mary Schweidler, $b the amber witch. $c The most interesting trial for witchcraft ever known.|en|0|0|0|0.0|dirs/etext05/8ambw10.zip
