Test File, upham_1.test.dat
Known Author Name, Unknown Author Name, Threshold, Match Value, Matches,Common Synonym Count, Scaled SC 2, Scaled SC 3, Scaled SC 4, Words Enc. Known, Words Enc. Unk.,Words over Threshold Known, Words Over Threshold Unk.,Dictionary Hits Known, Dictionary Hits Unk.
child_20x5 ,upham_1, 13, 3.994859617257112E-5, 1161,31985, 1305171.0, 8.2770161E7, 7.189448907E9, 171164, 58075, 1887, 1868, 109304, 37050, 
abbott_20x5 ,upham_1, 13, 5.303397067174368E-5, 1196,32842, 1332212.0, 8.4735664E7, 7.500281696E9, 130385, 58075, 1815, 1868, 83320, 37050, 
traill_20x5 ,upham_1, 13, 5.698610265894843E-5, 1201,33450, 1396692.0, 9.137793E7, 8.201177484E9, 116710, 58075, 2046, 1868, 79308, 37050, 1
upham_20x5 ,upham_1, 14, 5.6212344630016334E-5, 1147,32898, 1387622.0, 9.0657126E7, 8.11251815E9, 126291, 58075, 1687, 1699, 82705, 37050, 
child_20x5 ,upham_1, 14, 3.921491974130124E-5, 1068,30776, 1289454.0, 8.256584E7, 7.186792734E9, 171164, 58075, 1695, 1699, 109304, 37050, 
abbott_20x5 ,upham_1, 14, 5.185794426390891E-5, 1108,31698, 1317340.0, 8.4542328E7, 7.497768328E9, 130385, 58075, 1653, 1699, 83320, 37050, 
traill_20x5 ,upham_1, 14, 5.584489932827238E-5, 1102,32163, 1379961.0, 9.1160427E7, 8.198349945E9, 116710, 58075, 1848, 1699, 79308, 37050, 1
upham_20x5 ,upham_1, 15, 5.278600138220159E-5, 1055,31610, 1369590.0, 9.0404678E7, 8.108983878E9, 126291, 58075, 1519, 1545, 82705, 37050, 
child_20x5 ,upham_1, 15, 3.675585122546951E-5, 989,29670, 1273970.0, 8.2349064E7, 7.18375787E9, 171164, 58075, 1553, 1545, 109304, 37050, 
abbott_20x5 ,upham_1, 15, 4.868155042210747E-5, 1022,30494, 1300484.0, 8.4306344E7, 7.494464552E9, 130385, 58075, 1494, 1545, 83320, 37050, 
traill_20x5 ,upham_1, 15, 5.232111130631155E-5, 1022,31043, 1364281.0, 9.0940907E7, 8.195276665E9, 116710, 58075, 1695, 1545, 79308, 37050, 1
upham_20x5 ,upham_1, 16, 5.1806364444853844E-5, 976,30425, 1351815.0, 9.0138053E7, 8.104984503E9, 126291, 58075, 1394, 1421, 82705, 37050, 
child_20x5 ,upham_1, 16, 3.6143196698329306E-5, 919,28620, 1258220.0, 8.2112814E7, 7.18021412E9, 171164, 58075, 1420, 1421, 109304, 37050, 
abbott_20x5 ,upham_1, 16, 4.786143543135465E-5, 948,29384, 1283834.0, 8.4056594E7, 7.490718302E9, 130385, 58075, 1369, 1421, 83320, 37050, 
traill_20x5 ,upham_1, 16, 5.142924651847228E-5, 951,29978, 1348306.0, 9.0701282E7, 8.19168229E9, 116710, 58075, 1536, 1421, 79308, 37050, 1
upham_20x5 ,upham_1, 17, 5.102320027392476E-5, 904,29273, 1333383.0, 8.9843141E7, 8.100265911E9, 126291, 58075, 1271, 1296, 82705, 37050, 
child_20x5 ,upham_1, 17, 3.566192588423427E-5, 860,27676, 1243116.0, 8.187115E7, 7.176347496E9, 171164, 58075, 1309, 1296, 109304, 37050, 
abbott_20x5 ,upham_1, 17, 4.7107088116188765E-5, 881,28312, 1266682.0, 8.3782162E7, 7.48632739E9, 130385, 58075, 1261, 1296, 83320, 37050, 
traill_20x5 ,upham_1, 17, 5.0444875655864564E-5, 880,28842, 1330130.0, 9.0410466E7, 8.187029234E9, 116710, 58075, 1409, 1296, 79308, 37050, 1
upham_20x5 ,upham_1, 18, 4.9720562653963675E-5, 837,28134, 1314020.0, 8.951397E7, 8.094670004E9, 126291, 58075, 1164, 1188, 82705, 37050, 
child_20x5 ,upham_1, 18, 3.4839318976446835E-5, 801,26673, 1226065.0, 8.1581283E7, 7.171419757E9, 171164, 58075, 1205, 1188, 109304, 37050, 
abbott_20x5 ,upham_1, 18, 4.599352779380104E-5, 815,27190, 1247608.0, 8.3457904E7, 7.480815004E9, 130385, 58075, 1143, 1188, 83320, 37050, 
traill_20x5 ,upham_1, 18, 4.923595256710443E-5, 812,27686, 1310478.0, 9.0076382E7, 8.181349806E9, 116710, 58075, 1280, 1188, 79308, 37050, 1
upham_20x5 ,upham_1, 19, 4.868243382432335E-5, 768,26892, 1291664.0, 8.9111562E7, 8.08742666E9, 126291, 58075, 1055, 1084, 82705, 37050, 
child_20x5 ,upham_1, 19, 3.422002484359378E-5, 739,25557, 1205977.0, 8.1219699E7, 7.164911245E9, 171164, 58075, 1097, 1084, 109304, 37050, 
abbott_20x5 ,upham_1, 19, 4.512586990503356E-5, 759,26182, 1229464.0, 8.3131312E7, 7.474936348E9, 130385, 58075, 1043, 1084, 83320, 37050, 
traill_20x5 ,upham_1, 19, 4.82374180949628E-5, 752,26606, 1291038.0, 8.9726462E7, 8.175051246E9, 116710, 58075, 1163, 1084, 79308, 37050, 1
upham_20x5 ,upham_1, 20, 4.498312841247656E-5, 714,25866, 1272170.0, 8.8741176E7, 8.080389326E9, 126291, 58075, 966, 997, 82705, 37050, 
child_20x5 ,upham_1, 20, 3.1591847582257495E-5, 687,24569, 1187205.0, 8.0863031E7, 7.158134553E9, 171164, 58075, 1002, 997, 109304, 37050, 
abbott_20x5 ,upham_1, 20, 4.152766490695764E-5, 701,25080, 1208526.0, 8.273349E7, 7.46737773E9, 130385, 58075, 953, 997, 83320, 37050, 
traill_20x5 ,upham_1, 20, 4.440542402803982E-5, 699,25599, 1271905.0, 8.9362935E7, 8.168144233E9, 116710, 58075, 1062, 997, 79308, 37050, 1
upham_20x5 ,upham_1, 21, 4.432867367353861E-5, 668,24946, 1253770.0, 8.8373176E7, 8.073029326E9, 126291, 58075, 885, 924, 82705, 37050, 
child_20x5 ,upham_1, 21, 3.109085915119703E-5, 645,23729, 1170405.0, 8.0527031E7, 7.151414553E9, 171164, 58075, 913, 924, 109304, 37050, 
abbott_20x5 ,upham_1, 21, 4.083301034152127E-5, 655,24160, 1190126.0, 8.236549E7, 7.46001773E9, 130385, 58075, 876, 924, 83320, 37050, 
traill_20x5 ,upham_1, 21, 4.377691385497194E-5, 662,24859, 1257105.0, 8.9066935E7, 8.162224233E9, 116710, 58075, 981, 924, 79308, 37050, 1
upham_20x5 ,upham_1, 22, 4.388487155369631E-5, 628,24106, 1236130.0, 8.8002736E7, 8.065250086E9, 126291, 58075, 821, 851, 82705, 37050, 
child_20x5 ,upham_1, 22, 3.0799320100351E-5, 598,22742, 1149678.0, 8.0091764E7, 7.142273946E9, 171164, 58075, 836, 851, 109304, 37050, 
abbott_20x5 ,upham_1, 22, 4.038927662671781E-5, 613,23278, 1171604.0, 8.1976528E7, 7.451849528E9, 130385, 58075, 813, 851, 83320, 37050, 
